,Close,High,Low,Open,time,volume
0,127.92,127.92,127.92,127.92,2002-05-07 04:00:00,1
1,128.92,128.92,128.92,128.92,2002-05-08 04:00:00,1
2,128.38,128.38,128.38,128.38,2002-05-09 04:00:00,1
3,127.62,127.63,127.62,127.63,2002-05-10 04:00:00,2
4,127.86,127.86,127.86,127.86,2002-05-13 04:00:00,1
5,128.54,128.54,128.54,128.54,2002-05-14 04:00:00,1
6,127.61,127.61,127.61,127.61,2002-05-15 04:00:00,1
7,128.06,128.06,128.06,128.06,2002-05-16 04:00:00,1
8,125.93,125.93,125.93,125.93,2002-05-17 04:00:00,1
9,125.94,125.94,125.94,125.94,2002-05-19 04:00:00,1
10,125.4,125.4,125.4,125.4,2002-05-20 04:00:00,1
11,124.17,124.17,124.17,124.17,2002-05-21 04:00:00,1
12,124.22,124.22,124.22,124.22,2002-05-22 04:00:00,1
13,124.95,124.95,124.95,124.95,2002-05-23 04:00:00,1
14,124.85,124.85,124.72,124.72,2002-05-24 04:00:00,2
15,124.755,124.755,124.755,124.755,2002-05-27 04:00:00,1
16,124.58,124.58,124.58,124.58,2002-05-28 04:00:00,1
17,124.45,124.45,124.45,124.45,2002-05-29 04:00:00,1
18,123.4,123.4,123.4,123.4,2002-05-30 04:00:00,1
19,124.2,124.2,124.2,124.2,2002-05-31 04:00:00,1
20,124.25,124.25,124.25,124.25,2002-06-02 04:00:00,1
21,123.61,123.61,123.61,123.61,2002-06-03 04:00:00,1
22,124.14,124.14,124.14,124.14,2002-06-04 04:00:00,1
23,124.4,124.4,124.4,124.4,2002-06-05 04:00:00,1
24,124.09,124.09,124.09,124.09,2002-06-06 04:00:00,1
25,124.38,124.38,124.38,124.38,2002-06-07 04:00:00,1
26,124.41,124.41,124.41,124.41,2002-06-09 04:00:00,1
27,124.74,124.74,124.74,124.74,2002-06-10 04:00:00,1
28,125.28,125.28,125.28,125.28,2002-06-11 04:00:00,1
29,125.7,125.7,125.7,125.7,2002-06-12 04:00:00,1
30,124.89,124.89,124.89,124.89,2002-06-13 04:00:00,1
31,124.15,124.15,124.15,124.15,2002-06-14 04:00:00,1
32,124.09,124.09,124.09,124.09,2002-06-16 04:00:00,1
33,124.35,124.35,124.35,124.35,2002-06-17 04:00:00,1
34,124.37,124.37,124.37,124.37,2002-06-18 04:00:00,1
35,123.92,123.92,123.92,123.92,2002-06-19 04:00:00,1
36,123.48,123.48,123.48,123.48,2002-06-20 04:00:00,1
37,121.39,121.39,121.39,121.39,2002-06-21 04:00:00,1
38,121.39,121.39,121.39,121.39,2002-06-23 04:00:00,1
39,121.875,121.875,121.875,121.875,2002-06-24 04:00:00,1
40,121.35,121.35,121.35,121.35,2002-06-25 04:00:00,1
41,120.05,120.05,120.05,120.05,2002-06-26 04:00:00,1
42,119.56,119.56,119.56,119.56,2002-06-27 04:00:00,1
43,119.48,119.48,119.48,119.48,2002-06-28 04:00:00,1
44,119.61,119.61,119.61,119.61,2002-06-30 04:00:00,1
45,119.66,119.66,119.66,119.66,2002-07-01 04:00:00,1
46,119.91,119.91,119.91,119.91,2002-07-02 04:00:00,1
47,119.8,119.8,119.8,119.8,2002-07-03 04:00:00,1
48,119.97,119.97,119.97,119.97,2002-07-04 04:00:00,1
49,120.39,120.39,120.39,120.39,2002-07-05 04:00:00,1
50,120.05,120.05,120.05,120.05,2002-07-07 04:00:00,1
51,118.39,118.39,118.39,118.39,2002-07-08 04:00:00,1
52,118.035,118.035,118.035,118.035,2002-07-09 04:00:00,1
53,117.655,117.655,117.655,117.655,2002-07-10 04:00:00,1
54,116.955,116.955,116.955,116.955,2002-07-11 04:00:00,1
55,116.85,116.85,116.85,116.85,2002-07-12 04:00:00,1
56,116.88,116.88,116.88,116.88,2002-07-14 04:00:00,1
57,116.385,116.385,116.385,116.385,2002-07-15 04:00:00,1
58,115.945,115.945,115.945,115.945,2002-07-16 04:00:00,1
59,116.325,116.325,116.325,116.325,2002-07-17 04:00:00,1
60,116.58,116.58,116.58,116.58,2002-07-18 04:00:00,1
61,115.88,115.88,115.88,115.88,2002-07-19 04:00:00,1
62,115.84,115.84,115.84,115.84,2002-07-21 04:00:00,1
63,116.21,116.21,116.21,116.21,2002-07-22 04:00:00,1
64,117.56,117.56,117.56,117.56,2002-07-23 04:00:00,1
65,116.74,116.74,116.74,116.74,2002-07-24 04:00:00,1
66,116.4,116.4,116.4,116.4,2002-07-25 04:00:00,1
67,118.81,118.81,118.81,118.81,2002-07-26 04:00:00,1
68,118.8,118.8,118.8,118.8,2002-07-28 04:00:00,1
69,119.7,119.7,119.7,119.7,2002-07-29 04:00:00,1
70,120.19,120.19,120.19,120.19,2002-07-30 04:00:00,1
71,119.915,119.915,119.915,119.915,2002-07-31 04:00:00,1
72,119.3,119.3,119.3,119.3,2002-08-01 04:00:00,1
73,118.9,118.9,118.9,118.9,2002-08-02 04:00:00,1
74,118.85,118.85,118.85,118.85,2002-08-04 04:00:00,1
75,119.68,119.68,119.68,119.68,2002-08-05 04:00:00,1
76,120.75,120.75,120.75,120.75,2002-08-06 04:00:00,1
77,120.24,120.24,120.24,120.24,2002-08-07 04:00:00,1
78,121.0,121.0,121.0,121.0,2002-08-08 04:00:00,1
79,120.1,120.1,120.1,120.1,2002-08-09 04:00:00,1
80,120.16,120.16,120.16,120.16,2002-08-11 04:00:00,1
81,119.02,119.02,119.02,119.02,2002-08-12 04:00:00,1
82,118.44,118.44,118.44,118.44,2002-08-13 04:00:00,1
83,117.32,117.32,117.32,117.32,2002-08-14 04:00:00,1
